customerid,Recency,Tenure,Frequency,Monetary,AOV,churn,transaction_id,gender,location,tenure_months,transaction_date,product_sku,product_description,product_category,quantity,avg_price,delivery_charges,coupon_status,gst,offline_spend,online_spend,coupon_code,discount_pct,Month,CohortMonth,CohortIndex
12347,157,0,1,2924,243.67,1,23980,M,New York,20,2019-03-24,GGOENEBQ079199,Nest Protect Smoke + CO White Wired Alarm-USA,Nest-USA,5,79,6.50,Clicked,0.10,2000,1984,ELEC30,30.00,2019-03-01,2019-03-01,1
12347,157,0,1,2924,243.67,1,23985,M,New York,20,2019-03-24,GGOENEBJ079499,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1,149,6.50,Not Used,0.10,2000,1984,ELEC30,30.00,2019-03-01,2019-03-01,1
12347,157,0,1,2924,243.67,1,23986,M,New York,20,2019-03-24,GGOENEBB078899,Nest Cam Indoor Security Camera - USA,Nest-USA,3,119,6.50,Not Used,0.10,2000,1984,ELEC30,30.00,2019-03-01,2019-03-01,1
12347,157,0,1,2924,243.67,1,23987,M,New York,20,2019-03-24,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,1,119,6.50,Used,0.10,2000,1984,ELEC30,30.00,2019-03-01,2019-03-01,1
12347,157,0,1,2924,243.67,1,23992,M,New York,20,2019-03-24,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6.50,Used,0.10,2000,1984,ELEC30,30.00,2019-03-01,2019-03-01,1
12347,157,0,1,2924,243.67,1,23993,M,New York,20,2019-03-24,GGOENEBQ079099,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,4,79,6.50,Not Used,0.10,2000,1984,ELEC30,30.00,2019-03-01,2019-03-01,1
12347,157,0,1,2924,243.67,1,23979,M,New York,20,2019-03-24,GGOEGOCT019199,Red Spiral Google Notebook,Office,1,9,14.41,Used,0.10,2000,1984,OFF30,30.00,2019-03-01,2019-03-01,1
12347,157,0,1,2924,243.67,1,23989,M,New York,20,2019-03-24,GGOEYOLR018699,YouTube Leatherette Notebook Combo,Office,30,5,6.50,Clicked,0.10,2000,1984,OFF30,30.00,2019-03-01,2019-03-01,1
12347,157,0,1,2924,243.67,1,23984,M,New York,20,2019-03-24,GGOEGAEL031117,Google Men's Heavyweight Long Sleeve Hero Tee Navy,Apparel,28,39,6.50,Used,0.18,2000,1984,SALE30,30.00,2019-03-01,2019-03-01,1
12347,157,0,1,2924,243.67,1,23990,M,New York,20,2019-03-24,GGOEGAYB068026,Google Youth Baseball Raglan Heather/Black,Apparel,1,19,6.50,Clicked,0.18,2000,1984,SALE30,30.00,2019-03-01,2019-03-01,1
12347,157,0,1,2924,243.67,1,23996,M,New York,20,2019-03-24,GGOEGADB057317,Google Men's Lightweight Microfleece Jacket Black,Apparel,1,59,6.50,Clicked,0.18,2000,1984,SALE30,30.00,2019-03-01,2019-03-01,1
12347,157,0,1,2924,243.67,1,23981,M,New York,20,2019-03-24,GGOEYDHJ019399,24 oz YouTube Sergeant Stripe Bottle,Drinkware,3,7,49.73,Clicked,0.18,2000,1984,EXTRA30,30.00,2019-03-01,2019-03-01,1
12348,67,0,1,275,68.75,1,31050,M,California,39,2019-06-22,GGOEGAYH068425,Google Youth Short Sleeve T-shirt Green,Apparel,1,10,6.00,Clicked,0.18,3500,2217,SALE30,30.00,2019-06-01,2019-06-01,1
12348,67,0,1,275,68.75,1,31051,M,California,39,2019-06-22,GGOEGAYB068056,Google Youth Baseball Raglan Heather/Black,Apparel,1,19,6.00,Clicked,0.18,3500,2217,SALE30,30.00,2019-06-01,2019-06-01,1
12348,67,0,1,275,68.75,1,31048,M,California,39,2019-06-22,GGOEGDHQ015399,26 oz Double Wall Insulated Bottle,Drinkware,10,24,6.00,Used,0.18,3500,2217,EXTRA30,30.00,2019-06-01,2019-06-01,1
12348,67,0,1,275,68.75,1,31049,M,California,39,2019-06-22,GGOEGHGT019599,Google Sunglasses,Lifestyle,2,3,6.00,Used,0.18,3500,2217,EXTRA30,30.00,2019-06-01,2019-06-01,1
12359,5,0,1,13,13.0,0,36385,M,New York,41,2019-08-23,GGOEGHPJ080310,Google Blackout Cap,Headgear,1,13,6.00,Used,0.05,2500,1901,HGEAR20,20.00,2019-08-01,2019-08-01,1
12370,64,30,1,4302,179.25,1,31179,F,New York,21,2019-06-25,GGOENEBQ078999,Nest Cam Outdoor Security Camera - USA,Nest-USA,2,119,6.00,Used,0.10,1500,956,ELEC30,30.00,2019-06-01,2019-05-01,2
12370,64,30,1,4302,179.25,1,31180,F,New York,21,2019-06-25,GGOENEBQ084699,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,1,149,6.00,Clicked,0.10,1500,956,ELEC30,30.00,2019-06-01,2019-05-01,2
12370,64,30,1,4302,179.25,1,31175,F,New York,21,2019-06-25,GGOEGFKQ020399,Google Laptop and Cell Phone Stickers,Office,1,2,6.00,Used,0.10,1500,956,OFF30,30.00,2019-06-01,2019-05-01,2
